PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
49.98,31.01,15.09,75392.95,36.77,21.38,6.89,114.1,0.38,33557.2,0.34,12.65,10.77,7.12,8.58,11.86,11.86,2548.5,52.15,34.86,35.82,43.18,48.72,32.57,33.46,16.57,11.07,11.38,0.84,1.11,0.06,0.1,10.34,50418.7,12,2,0,1,0
50.53,19.74,56.21,195925.74,79.24,25.78,12.58,162.35,0.42,46233.9,0.54,20.06,18.67,13.01,14.01,17.49,17.88,886.31,81.27,57.33,58.42,62.88,77.43,54.62,55.65,27.01,19.05,19.41,0.86,1.12,0.04,0.2,2.16,57937.2,1,3,1,0,0
52.34,22.72,45.1,242384.49,80.16,31.52,12.27,205.93,0.43,38891.7,0.51,16.93,15.39,10.59,12.2,15.85,16.2,2555.39,62.72,43.53,43.89,50.59,60.46,41.97,42.31,26.03,18.07,18.21,0.78,1.46,0.03,0.5,1.3,72582.9,7,3,0,0,0
52.79,21.51,45.1,310564.26,91.94,35.22,11.55,280.35,0.43,38891.7,0.51,16.41,14.74,10.34,11.4,15.04,15.28,1433.18,59.93,42.79,42.95,47.32,56.94,40.66,40.81,30.69,21.91,21.99,0.66,1.29,0.07,0.36,6.01,91393.1,6,1,1,0,0
52.79,15.48,52.06,471388.16,109.62,44.83,14.29,343.85,0.41,48261.4,0.57,15.89,14.34,9.91,11.64,14.83,15.07,2276.41,53.86,37.89,38.11,44.75,51.78,36.42,36.63,28.25,19.87,19.99,0.61,1.29,0.02,0.28,5.8,104900.7,1,1,2,0,0
52.79,18.6,0,524201.59,12.26,44.58,14.56,37.54,0.49,67559,0.65,15.78,13.79,9.47,11.5,14.78,14.88,1576.1,50.66,35.51,35.3,42.86,49.9,34.97,34.77,26.98,18.91,18.8,0.71,1.35,0.01,0.37,3.59,121981.7,5,4,3,0,0
52.79,13.06,54.21,775751.21,13.85,58.38,18.34,44.1,0.55,73304.4,0.5,15.77,13.96,9.58,11.1,14.58,14.75,1479.97,48.52,33.93,33.9,39.29,47.99,33.56,33.53,26.97,18.87,18.85,0.81,1.5,0.01,0.42,1.9,136901,8,4,3,0,0
52.8,13.19,0,833255.12,17.45,49.78,14.02,61.98,0.57,87350.7,0.46,17.51,15.8,10.66,12.42,16.24,16.03,1658.05,44.6,32.91,31.9,37.18,44.27,32.66,31.66,28.21,20.82,20.18,1.16,1.85,0.01,0.67,4.62,148830.3,5,4,2,0,0
43.1,0,52.48,138041.33,20.75,23.63,4.14,118.44,0.93,497846.4,0.61,79.8,18.2,12.04,16.26,33.42,0,21.3,36.8,20.3,20.96,28.31,11.89,6.56,6.78,1.88,1.04,1.07,3.13,3.13,2.56,2.5,2080.01,23084.5,2,3,1,0,0
42.51,0.98,52.48,279424.91,29.11,26.84,3.19,245.19,1.01,1096256.8,0.55,77.18,18.68,12.15,18.63,-9961.15,0,24.92,35.9,17.11,17.6,26.99,14.6,6.96,7.16,2.39,1.14,1.17,3.97,3.97,1.03,3.32,2118.66,1833,0,0,0,0,0
